"GEOID","total_pop","pct_white","pct_black","pct_hispanic","pct_asian","poverty_rate","unemployment_rate","median_income","pct_renter","pct_rent_burdened","pct_severe_burden","pct_less_than_hs","median_rent","median_home_value","property_age","vacant_units"
"42101000101",1947,85.5161787365177,1.59219311761685,12.7375449409348,5.18746789933231,0.719054956343092,5.05173463177115,117250,62.1951219512195,30.7533539731682,13.9318885448916,0.815217391304348,2006,511400,81,145
"42101000102",2897,88.539868829824,4.03866068346565,3.58992060752503,4.00414221608561,6.76193795747647,4.8238255033557,94974,58.7793427230047,24.2811501597444,11.9009584664537,4.3265306122449,2151,508100,86,170
"42101000200",3486,40.4761904761905,4.99139414802065,4.99139414802065,49.4549627079748,19.2056905749852,6.33832976445396,98994,44.4201312910284,35.5911330049261,18.9655172413793,20.2185792349727,1592,483700,50,142
"42101000300",3914,60.3219213081247,8.8400613183444,5.87634133878385,19.3663771078181,8.26880530973451,3.77200335289187,95234,74.9031758326878,33.2471561530507,13.3919338159255,0.981323203545426,2057,669800,48,235
"42101000401",2675,57.6448598130841,15.7009345794393,3.62616822429907,21.0467289719626,19.3376475066616,0.465657741559953,86293,58.0943978826643,37.5854214123007,17.5398633257403,4.11418975650714,1327,587400,69,310
"42101000403",1047,83.8586437440306,2.76981852913085,6.49474689589303,8.59598853868195,6.59025787965616,0.652741514360313,181066,35.330836454432,17.6678445229682,5.30035335689046,0.984251968503937,2054,933000,29,85
"42101000404",3130,79.2651757188498,6.38977635782748,0.990415335463259,10.1277955271566,6.28205128205128,1.22352941176471,90980,46.2154294032023,25.4330708661417,6.14173228346457,0.918367346938776,2330,344900,58,456
"42101000500",3057,43.6702649656526,29.8004579653255,9.78083087994766,16.5848871442591,21.8200620475698,6.52173913043478,69267,77.3521505376344,42.3979148566464,10.0781928757602,13.158892681077,1862,453300,41,219
"42101000600",1536,64.3880208333333,12.5,7.09635416666667,21.1588541666667,9.81963927855711,4.46791226645004,97794,72.9942693409742,38.2728164867517,21.2953876349362,2.16383307573416,2294,NA,86,368
"42101000701",1807,79.6900940785833,0.221361372440509,5.75539568345324,18.8710570005534,14.2219743446737,0.74173971679029,86809,62.4161073825503,40.4692082111437,23.8514173998045,5.44174135723432,2097,387100,86,272
"42101000702",2248,49.4661921708185,1.02313167259786,9.47508896797153,32.9181494661922,6.85053380782918,4.55873758036236,79926,73.0337078651685,40.2429149797571,36.0323886639676,4.32248664400194,2208,250600,52,198
"42101000801",1735,74.985590778098,1.90201729106628,3.57348703170029,9.27953890489914,5.36756126021004,0.800640512409928,126726,61.7700729927007,54.0620384047267,36.6322008862629,0.631412786108919,2134,724700,86,95
"42101000803",2998,80.2868579052702,2.33488992661775,6.10406937958639,9.60640426951301,11.4447781114448,7.88840788840789,82112,51.9045625784847,40.9677419354839,23.3064516129032,0,1760,744300,83,370
"42101000805",2582,74.1285824941906,1.66537567776917,3.64058869093726,15.9178931061193,6.07713283989092,1.78217821782178,84773,60.613810741688,46.6947960618847,14.3459915611814,3.85467434647763,1956,560600,73,454
"42101000806",2253,80.2929427430093,2.75188637372392,4.70483799378606,12.0284065690191,13.2711939636041,0,180504,64.5095017976374,26.1942675159236,14.0923566878981,0.434782608695652,2406,363800,50,292
"42101000901",2166,62.280701754386,18.7442289935365,4.15512465373961,13.6657433056325,27.8855032317636,6.07701564380265,44926,79.5064377682403,54.1835357624831,32.1187584345479,5.1054384017758,1400,358500,86,225
"42101000902",2736,71.1622807017544,5.77485380116959,4.82456140350877,17.4342105263158,12.621359223301,1.83428209993675,89063,73.6668861092824,27.2564789991063,8.22162645218945,10.193487494101,1398,1036700,49,154
"42101001001",2717,92.6021347073979,0.956937799043062,3.16525579683474,2.64998159735002,5.44718439455282,3.39462517680339,123935,33.0102040816327,31.2210200927357,18.2380216383308,3.23101777059774,1930,487600,60,319
"42101001002",3583,86.2963996650851,0.948925481440134,1.56293608707787,11.1917387663969,4.47383230163196,0.361570247933884,144922,25.4863813229572,41.0687022900763,13.4351145038168,2.3578811369509,1980,543600,60,359
"42101001101",4598,62.8534145280557,14.5498042627229,7.28577642453241,8.06872553284036,22.344234900931,2.37659963436929,58557,75.3186558516802,48.3589743589744,8.92307692307692,7.39348370927318,1203,452600,86,64
"42101001102",2722,77.5900073475386,6.7964731814842,5.40044085231447,5.14327700220426,5.10732790525537,0.790904597132971,107470,43.5342305441779,39.7849462365591,10.6182795698925,0.575221238938053,1579,775500,86,188
"42101001201",4323,81.4249363867684,4.55702058755494,4.51075641915337,4.04811473513764,7.79912057394122,1.25764785859959,116935,51.9586741282824,38.2767191383596,20.13256006628,0.210084033613445,1887,846200,86,197
"42101001203",1949,85.0179579271421,1.84710107747563,12.2113904566444,10.2103642893792,6.90365790829469,7.26643598615917,105320,74.6908491343776,33.5540838852097,13.7969094922737,0.059206631142688,1772,NA,86,0
"42101001204",3134,82.8653477983408,1.75494575622208,5.04148053605616,6.22208040842374,13.058538275026,2.85057471264368,88583,60.7937200174444,38.0200860832138,20.5164992826399,1.06466876971609,1709,766400,86,374
"42101001301",1867,46.1167648634172,33.3690412426352,4.9812533476165,7.49866095340118,11.6229244777718,10.1010101010101,132344,28.5252960172228,4.90566037735849,0,3.70919881305638,1699,496800,86,117
"42101001302",4762,74.7165056698866,14.5737085258295,3.61192776144477,6.53086938261235,3.40193196136077,6.05652759084791,112892,43.4227892652882,38.1965552178318,4.66058763931104,1.54655119084442,2109,586900,62,279
