code,citycor,long_code,zoninggroup,pending,pendingbill,pendingbillurl,sunset_date,sunsetbillnum,sunsetbilllink,objectid,globalid,Shape__Area,Shape__Length
SPPOA,0,SP-PO-A,Special Purpose,No,N/A,N/A,,N/A,N/A,28778,,24110.578125,998.648335664115
I2,1,I-2,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28779,,13194.31640625,632.519150515484
SPPOA,0,SP-PO-A,Special Purpose,No,N/A,N/A,,N/A,N/A,28780,,1122.23828125,149.866881419809
RSA2,0,RSA-2,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28781,,3594.01171875,260.860999210302
RSD3,2,RSD-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28782,,183676.6953125,3277.82614559496
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28783,,6501.6171875,336.856169789843
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28784,,1680.3359375,197.557143919562
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28785,,3764.98828125,271.892721149084
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28786,,26928.1953125,741.347859198309
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28787,,18477.93359375,561.592191014389
RSA4,0,RSA-4,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28788,,111341.4375,2220.13279149204
I1,0,I-1,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28789,,1492684.55078125,5878.0235024522
ICMX,0,ICMX,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28790,,11394.515625,433.494313364232
RSA1,0,RSA-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28791,,3748.921875,291.751821948128
SPPOA,0,SP-PO-A,Special Purpose,No,N/A,N/A,,N/A,N/A,28792,,42217.96484375,1015.03525055259
SPPOA,0,SP-PO-A,Special Purpose,No,N/A,N/A,,N/A,N/A,28793,,215629.00390625,2043.94583634934
I1,2,I-1,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28794,,64279.765625,2157.66736268202
SPPOA,0,SP-PO-A,Special Purpose,No,N/A,N/A,,N/A,N/A,28795,,212986.85546875,2819.83311449521
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28796,,11627.41015625,849.978932369748
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28797,,10818.62109375,435.202639727669
RTA1,1,RTA-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28798,,29428.33203125,1142.99229279175
CMX2.5,0,CMX-2.5,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28799,,25911.0078125,916.390733935368
RSA3,0,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28800,,5867.49609375,369.317307441264
RSD1,0,RSD-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28801,,38805.7421875,978.534389449271
I3,2,I-3,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28802,,25712.23046875,897.794974485214
RSD3,0,RSD-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28803,,6552.69921875,373.504102569196
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28804,,151.78515625,60.388893815887
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28805,,630.78125,121.957853023586
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28806,,25255.0390625,1037.51245045909
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28807,,21587.67578125,808.738576459676
RSA5,1,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28808,,33221.13671875,843.702122818133
RMX3,0,RMX-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28809,,38152.15625,785.88584488503
I1,0,I-1,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28810,,1433.16796875,153.950491081637
CMX3,0,CMX-3,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28811,,2021.84765625,221.639756842452
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28812,,9787.56640625,413.466451324304
RSD3,0,RSD-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28813,,423116.9296875,2673.97252614072
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28814,,10395.3671875,755.189834965635
RSA5,0,RSA-5,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28815,,6610.46484375,435.533626675912
CMX4,0,CMX-4,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28816,,7901.046875,358.036282655303
RMX3,4,RMX-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28817,,1114.6796875,140.800454532167
SPPOA,0,SP-PO-A,Special Purpose,No,N/A,N/A,,N/A,N/A,28818,,191425.1640625,2621.71228433409
RSD3,0,RSD-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28819,,98334.01171875,1338.34612263818
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28820,,1646.69140625,169.059249933208
CMX1,0,CMX-1,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28821,,146.47265625,62.9150420749037
CMX2.5,0,CMX-2.5,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28822,,2716.61328125,246.475718087943
CMX2.5,0,CMX-2.5,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28823,,9035.25,551.531696256433
RSA3,0,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28824,,8392.0703125,380.180900526546
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28825,,1081.09375,146.630163494021
RSD1,0,RSD-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28826,,72575.390625,1350.35627360362
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28827,,10342.31640625,492.001880264034
RSD1,0,RSD-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28828,,11683.140625,405.845693862294
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28829,,11072.359375,512.715592670119
SPINS,0,SP-INS,Special Purpose,No,N/A,N/A,,N/A,N/A,28830,,290162.15234375,2548.85237228136
CMX4,0,CMX-4,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28831,,10124.7578125,443.827046948355
RSA3,1,RSA-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28832,,22137.76171875,657.455923408389
RM1,0,RM-1,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28833,,1710.1796875,187.870987698086
CMX2,0,CMX-2,Commercial/Commercial Mixed-Use,No,N/A,N/A,,N/A,N/A,28834,,295.484375,97.1150687856765
RSA2,0,RSA-2,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28835,,6527.30859375,343.09082722743
RSD3,0,RSD-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28836,,13218.2421875,508.238873643431
RSD3,0,RSD-3,Residential/Residential Mixed-Use,No,N/A,N/A,,N/A,N/A,28837,,12106.94140625,465.004824807161
I2,0,I-2,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28838,,306932.30078125,2154.32044256214
IRMX,0,IRMX,Industrial/Industrial Mixed-Use,No,N/A,N/A,,N/A,N/A,28839,,778.64453125,125.976588575109
